id_code,firm,num_advisors,Role,level,amount
TB7,TB7_1,< 25,New Financial Advisor,1,0.3
TB7,TB7_2,< 25,Financial Advisor,1,0.25
PB6,PB6,25-100,Retail Financial Consultant,1,0.25
AT5,AT5_1,25-100,Financial Consultant,1,0.01
AL3,AL3,25-100,Wealth Advisor,1,0
AT2,AT2_2,> 100,Senior Advisor,1,0.2
AR3,AR3,> 100,Senior Advisor,1,0.28
PB3,PB3_1,25-100,Senior Advisor,1,0.2
PB9,PB9_2,25-100,Senior Advisor,1,0.2
PR4,PR4,< 25,Financial Consultant II,1,0.38
AB2,AB2,25-100,Senior Investment Representative,1,0
AT1,AT1_3,> 100,Senior  Financial Advisor,1,0
TB7,TB7_3,< 25,Senior  Financial Advisor,1,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,1,0
AT5,AT5_2,25-100,2nd Story Financial Consultant,1,0
TB7,TB7_4,< 25,Private Financial Advisor,1,0.4
PB9,PB9_3,25-100,Independent Advisor,1,0.2
PB3,PB3_2,25-100,Independent Advisor,1,0.26
TL14,TL14_2,< 25,Independent Advisor,1,0.31
W,W_1,> 100,Advisor 0-5 Yrs,1,0.28
W,W_2,> 100,Advisor 5-7 Yrs,1,0.28
W,W_3,> 100,Advisor 7-9 Yrs,1,0.28
W,W_4,> 100,Advisor 9-15 Yrs,1,0.28
W,W_5,> 100,Advisor 15-19 Yrs,1,0.28
W,W_6,> 100,Advisor 20-25 Yrs,1,0.28
W,W_7,> 100,Advisor 25+ Yrs,1,0.28
GR1,GR1,> 100,Advisor,1e5,0.18
PT10,PT10,<25,Financial Advisor,1e5,0.39
TL13,TL13_1,<25,Financial Advisor (New),1e5,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),1e5,0.32
PT5,PT5,< 25,Advisor,1e5,0.33
PB9,PB9_1,25-100,Advisor,1e5,0.23
PB7,PB7,25-100,Advisor,1e5,0.1
PT11,PT11,<25,Financial Advisor,1e5,0.32
AR2,AR2,> 100,Advisor,1e5,0.2
TR7,TR7,<25,Investment Representative,1e5,0.3
TR2,TR2,25-100,Financial Advisor,1e5,0.1
AR6,AR6_1,25-100,KJM (Tier I) Representative,1e5,0.28
AR6,AR6_2,25-100,MBE (Tier II) Representative,1e5,0.32
AR6,AR6_3,25-100,SPG (Tier III) Representative,1e5,0.4
TR8,TR8,<25,Financial Advisor,1e5,0.18
AB5,AB5,<25,Financial Advisor,1e5,0.3
PB14,PB14,<25,Financial Consultant,1e5,0.3
TB5,TB5_1,<25,Wealth Advisor,1e5,0.42
AR7,AR7,25-100,Financial Advisor,1e5,0.2
TB6,TB6,<25,Financial Advisor,1e5,0.2
TB5,TB5_2,<25,Financial Advisor,1e5,0
TL9,TL9,<25,Registered Representative,1e5,0.2
PB8,PB8,25-100,Investment Client Advisor,1e5,0.2
PT3,PT3,25-100,Advisor,1e5,0
TT7,TT7,<25,Financial Advisor,1e5,0.29
GB1,GB1_1,> 100,Branch Advisor,1e5,0.15
GB1,GB1_2,> 100,Hub Advisor,1e5,0.15
GT1,GT1_1,> 100,Traditional Advisor,1e5,0.2
GT1,GT1_2,> 100,Team Based (Partnered) Advisor,1e5,0.19
GL1,GL1,> 100,Advisor,1e5,0.25
TL7,TL7,25-100,Advisor,1e5,0.36
AB6,AB6,25-100,Advisor,1e5,0.35
AB4,AB4,25-100,Retail Investment Sales Officer,1e5,0.35
PT12,PT12,<25,Advisor,1e5,0.29
AT7,AT7_1,25-100,Full Commission Advisor,1e5,0.35
AT7,AT7_2,25-100,"""Guaranteed"" Advisor",1e5,0.19
AB3,AB3,25-100,Financial Consultant,1e5,0.2
PT13,PT13,<25,Financial Advisor,1e5,0.36
AB7,AB7,> 100,Financial Advisor/Associate FA,1e5,0.26
AT2,AT2_1,> 100,Advisor,1e5,0.25
TL5,TL5,<25,Financial Advisor,1e5,0.2
AT6,AT6,> 100,Advisor,1e5,0
PR3,PR3,< 25,New Financial Advisor,1e5,0
PR2,PR2,25-100,Advisor,1e5,0.25
AT3,AT3_1,> 100,Branch Advisor,1e5,0.25
AT3,AT3_2,> 100,Centralized Advisor,1e5,0.29
AT1,AT1_1,> 100,"""Grandfathered"" Advisor",1e5,0
AT1,AT1_2,> 100,Advisor,1e5,0
TL14,TL14_1,<25,Advisor,1e5,0.26
PR1,PR1,25-100,Advisor,1e5,0
PB1,PB1,< 25,Financial Advisor,1e5,0.05
TB7,TB7_1,< 25,New Financial Advisor,1e5,0.3
TB7,TB7_2,< 25,Financial Advisor,1e5,0.25
PB6,PB6,25-100,Retail Financial Consultant,1e5,0.25
AT5,AT5_1,25-100,Financial Consultant,1e5,0.03
AL3,AL3,25-100,Wealth Advisor,1e5,0
AT2,AT2_2,> 100,Senior Advisor,1e5,0.2
AR3,AR3,> 100,Senior Advisor,1e5,0.28
PB3,PB3_1,25-100,Senior Advisor,1e5,0.2
PB9,PB9_2,25-100,Senior Advisor,1e5,0.25
PR4,PR4,< 25,Financial Consultant II,1e5,0.38
AB2,AB2,25-100,Senior Investment Representative,1e5,0.3
AT1,AT1_3,> 100,Senior  Financial Advisor,1e5,0
TB7,TB7_3,< 25,Senior  Financial Advisor,1e5,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,1e5,0
AT5,AT5_2,25-100,2nd Story Financial Consultant,1e5,0
TB7,TB7_4,< 25,Private Financial Advisor,1e5,0.4
PB9,PB9_3,25-100,Independent Advisor,1e5,0.3
PB3,PB3_2,25-100,Independent Advisor,1e5,0.26
TL14,TL14_2,< 25,Independent Advisor,1e5,0.31
W,W_1,> 100,Advisor 0-5 Yrs,1e5,0.28
W,W_2,> 100,Advisor 5-7 Yrs,1e5,0.28
W,W_3,> 100,Advisor 7-9 Yrs,1e5,0.28
W,W_4,> 100,Advisor 9-15 Yrs,1e5,0.28
W,W_5,> 100,Advisor 15-19 Yrs,1e5,0.28
W,W_6,> 100,Advisor 20-25 Yrs,1e5,0.28
W,W_7,> 100,Advisor 25+ Yrs,1e5,0.28
GR1,GR1,> 100,Advisor,125e3,0.18
PT10,PT10,<25,Financial Advisor,125e3,0.39
TL13,TL13_1,<25,Financial Advisor (New),125e3,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),125e3,0.32
PT5,PT5,< 25,Advisor,125e3,0.33
PB9,PB9_1,25-100,Advisor,125e3,0.27
PB7,PB7,25-100,Advisor,125e3,0.1
PT11,PT11,<25,Financial Advisor,125e3,0.32
AR2,AR2,> 100,Advisor,125e3,0.2
TR7,TR7,<25,Investment Representative,125e3,0.3
TR2,TR2,25-100,Financial Advisor,125e3,0.15
AR6,AR6_1,25-100,KJM (Tier I) Representative,125e3,0.28
AR6,AR6_2,25-100,MBE (Tier II) Representative,125e3,0.32
AR6,AR6_3,25-100,SPG (Tier III) Representative,125e3,0.4
TR8,TR8,<25,Financial Advisor,125e3,0.18
AB5,AB5,<25,Financial Advisor,125e3,0.3
PB14,PB14,<25,Financial Consultant,125e3,0.3
TB5,TB5_1,<25,Wealth Advisor,125e3,0.42
AR7,AR7,25-100,Financial Advisor,125e3,0.25
TB6,TB6,<25,Financial Advisor,125e3,0.2
TB5,TB5_2,<25,Financial Advisor,125e3,0
TL9,TL9,<25,Registered Representative,125e3,0.2
PB8,PB8,25-100,Investment Client Advisor,125e3,0.2
PT3,PT3,25-100,Advisor,125e3,0
TT7,TT7,<25,Financial Advisor,125e3,0.29
GB1,GB1_1,> 100,Branch Advisor,125e3,0.15
GB1,GB1_2,> 100,Hub Advisor,125e3,0.15
GT1,GT1_1,> 100,Traditional Advisor,125e3,0.2
GT1,GT1_2,> 100,Team Based (Partnered) Advisor,125e3,0.19
GL1,GL1,> 100,Advisor,125e3,0.25
TL7,TL7,25-100,Advisor,125e3,0.36
AB6,AB6,25-100,Advisor,125e3,0.35
AB4,AB4,25-100,Retail Investment Sales Officer,125e3,0.35
PT12,PT12,<25,Advisor,125e3,0.29
AT7,AT7_1,25-100,Full Commission Advisor,125e3,0.35
AT7,AT7_2,25-100,"""Guaranteed"" Advisor",125e3,0.19
AB3,AB3,25-100,Financial Consultant,125e3,0.2
PT13,PT13,<25,Financial Advisor,125e3,0.36
AB7,AB7,> 100,Financial Advisor/Associate FA,125e3,0.26
AT2,AT2_1,> 100,Advisor,125e3,0.25
TL5,TL5,<25,Financial Advisor,125e3,0.2
AT6,AT6,> 100,Advisor,125e3,0
PR3,PR3,< 25,New Financial Advisor,125e3,0
PR2,PR2,25-100,Advisor,125e3,0.25
AT3,AT3_1,> 100,Branch Advisor,125e3,0.25
AT3,AT3_2,> 100,Centralized Advisor,125e3,0.29
AT1,AT1_1,> 100,"""Grandfathered"" Advisor",125e3,0
AT1,AT1_2,> 100,Advisor,125e3,0
TL14,TL14_1,<25,Advisor,125e3,0.31
PR1,PR1,25-100,Advisor,125e3,0
PB1,PB1,< 25,Financial Advisor,125e3,0.05
TB7,TB7_1,< 25,New Financial Advisor,125e3,0.3
TB7,TB7_2,< 25,Financial Advisor,125e3,0.25
PB6,PB6,25-100,Retail Financial Consultant,125e3,0.25
AT5,AT5_1,25-100,Financial Consultant,125e3,0.03
AL3,AL3,25-100,Wealth Advisor,125e3,0
AT2,AT2_2,> 100,Senior Advisor,125e3,0.2
AR3,AR3,> 100,Senior Advisor,125e3,0.33
PB3,PB3_1,25-100,Senior Advisor,125e3,0.2
PB9,PB9_2,25-100,Senior Advisor,125e3,0.35
PR4,PR4,< 25,Financial Consultant II,125e3,0.38
AB2,AB2,25-100,Senior Investment Representative,125e3,0.3
AT1,AT1_3,> 100,Senior  Financial Advisor,125e3,0
TB7,TB7_3,< 25,Senior  Financial Advisor,125e3,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,125e3,0
AT5,AT5_2,25-100,2nd Story Financial Consultant,125e3,0
TB7,TB7_4,< 25,Private Financial Advisor,125e3,0.4
PB9,PB9_3,25-100,Independent Advisor,125e3,0.4
PB3,PB3_2,25-100,Independent Advisor,125e3,0.26
TL14,TL14_2,< 25,Independent Advisor,125e3,0.36
W,W_1,> 100,Advisor 0-5 Yrs,125e3,0.28
W,W_2,> 100,Advisor 5-7 Yrs,125e3,0.28
W,W_3,> 100,Advisor 7-9 Yrs,125e3,0.28
W,W_4,> 100,Advisor 9-15 Yrs,125e3,0.28
W,W_5,> 100,Advisor 15-19 Yrs,125e3,0.28
W,W_6,> 100,Advisor 20-25 Yrs,125e3,0.28
W,W_7,> 100,Advisor 25+ Yrs,125e3,0.28
GR1,GR1,> 100,Advisor,15e4,0.22
PT10,PT10,<25,Financial Advisor,15e4,0.39
TL13,TL13_1,<25,Financial Advisor (New),15e4,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),15e4,0.32
PT5,PT5,< 25,Advisor,15e4,0.33
PB9,PB9_1,25-100,Advisor,15e4,0.27
PB7,PB7,25-100,Advisor,15e4,0.1
PT11,PT11,<25,Financial Advisor,15e4,0.32
AR2,AR2,> 100,Advisor,15e4,0.2
TR7,TR7,<25,Investment Representative,15e4,0.3
TR2,TR2,25-100,Financial Advisor,15e4,0.2
AR6,AR6_1,25-100,KJM (Tier I) Representative,15e4,0.31
AR6,AR6_2,25-100,MBE (Tier II) Representative,15e4,0.35
AR6,AR6_3,25-100,SPG (Tier III) Representative,15e4,0.4
TR8,TR8,<25,Financial Advisor,15e4,0.18
AB5,AB5,<25,Financial Advisor,15e4,0.3
PB14,PB14,<25,Financial Consultant,15e4,0.3
TB5,TB5_1,<25,Wealth Advisor,15e4,0.42
AR7,AR7,25-100,Financial Advisor,15e4,0.25
TB6,TB6,<25,Financial Advisor,15e4,0.2
TB5,TB5_2,<25,Financial Advisor,15e4,0
TL9,TL9,<25,Registered Representative,15e4,0.2
PB8,PB8,25-100,Investment Client Advisor,15e4,0.2
PT3,PT3,25-100,Advisor,15e4,0
TT7,TT7,<25,Financial Advisor,15e4,0.29
GB1,GB1_1,> 100,Branch Advisor,15e4,0.15
GB1,GB1_2,> 100,Hub Advisor,15e4,0.15
GT1,GT1_1,> 100,Traditional Advisor,15e4,0.2
GT1,GT1_2,> 100,Team Based (Partnered) Advisor,15e4,0.19
GL1,GL1,> 100,Advisor,15e4,0.25
TL7,TL7,25-100,Advisor,15e4,0.36
AB6,AB6,25-100,Advisor,15e4,0.35
AB4,AB4,25-100,Retail Investment Sales Officer,15e4,0.35
PT12,PT12,<25,Advisor,15e4,0.29
AT7,AT7_1,25-100,Full Commission Advisor,15e4,0.35
AT7,AT7_2,25-100,"""Guaranteed"" Advisor",15e4,0.19
AB3,AB3,25-100,Financial Consultant,15e4,0.2
PT13,PT13,<25,Financial Advisor,15e4,0.36
AB7,AB7,> 100,Financial Advisor/Associate FA,15e4,0.26
AT2,AT2_1,> 100,Advisor,15e4,0.25
TL5,TL5,<25,Financial Advisor,15e4,0.25
AT6,AT6,> 100,Advisor,15e4,0
PR3,PR3,< 25,New Financial Advisor,15e4,0
PR2,PR2,25-100,Advisor,15e4,0.25
AT3,AT3_1,> 100,Branch Advisor,15e4,0.25
AT3,AT3_2,> 100,Centralized Advisor,15e4,0.29
AT1,AT1_1,> 100,"""Grandfathered"" Advisor",15e4,0.04
AT1,AT1_2,> 100,Advisor,15e4,0.04
TL14,TL14_1,<25,Advisor,15e4,0.31
PR1,PR1,25-100,Advisor,15e4,0
PB1,PB1,< 25,Financial Advisor,15e4,0.1
TB7,TB7_1,< 25,New Financial Advisor,15e4,0.3
TB7,TB7_2,< 25,Financial Advisor,15e4,0.25
PB6,PB6,25-100,Retail Financial Consultant,15e4,0.28
AT5,AT5_1,25-100,Financial Consultant,15e4,0.03
AL3,AL3,25-100,Wealth Advisor,15e4,0
AT2,AT2_2,> 100,Senior Advisor,15e4,0.2
AR3,AR3,> 100,Senior Advisor,15e4,0.33
PB3,PB3_1,25-100,Senior Advisor,15e4,0.2
PB9,PB9_2,25-100,Senior Advisor,15e4,0.35
PR4,PR4,< 25,Financial Consultant II,15e4,0.38
AB2,AB2,25-100,Senior Investment Representative,15e4,0.3
AT1,AT1_3,> 100,Senior  Financial Advisor,15e4,0.04
TB7,TB7_3,< 25,Senior  Financial Advisor,15e4,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,15e4,0
AT5,AT5_2,25-100,2nd Story Financial Consultant,15e4,0
TB7,TB7_4,< 25,Private Financial Advisor,15e4,0.4
PB9,PB9_3,25-100,Independent Advisor,15e4,0.4
PB3,PB3_2,25-100,Independent Advisor,15e4,0.26
TL14,TL14_2,< 25,Independent Advisor,15e4,0.36
W,W_1,> 100,Advisor 0-5 Yrs,15e4,0.28
W,W_2,> 100,Advisor 5-7 Yrs,15e4,0.28
W,W_3,> 100,Advisor 7-9 Yrs,15e4,0.28
W,W_4,> 100,Advisor 9-15 Yrs,15e4,0.28
W,W_5,> 100,Advisor 15-19 Yrs,15e4,0.28
W,W_6,> 100,Advisor 20-25 Yrs,15e4,0.28
W,W_7,> 100,Advisor 25+ Yrs,15e4,0.28
GR1,GR1,> 100,Advisor,175e3,0.22
PT10,PT10,<25,Financial Advisor,175e3,0.39
TL13,TL13_1,<25,Financial Advisor (New),175e3,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),175e3,0.32
PT5,PT5,< 25,Advisor,175e3,0.36
PB9,PB9_1,25-100,Advisor,175e3,0.27
PB7,PB7,25-100,Advisor,175e3,0.1
PT11,PT11,<25,Financial Advisor,175e3,0.32
AR2,AR2,> 100,Advisor,175e3,0.2
TR7,TR7,<25,Investment Representative,175e3,0.3
TR2,TR2,25-100,Financial Advisor,175e3,0.2
AR6,AR6_1,25-100,KJM (Tier I) Representative,175e3,0.31
AR6,AR6_2,25-100,MBE (Tier II) Representative,175e3,0.35
AR6,AR6_3,25-100,SPG (Tier III) Representative,175e3,0.4
TR8,TR8,<25,Financial Advisor,175e3,0.18
AB5,AB5,<25,Financial Advisor,175e3,0.35
PB14,PB14,<25,Financial Consultant,175e3,0.3
TB5,TB5_1,<25,Wealth Advisor,175e3,0.42
AR7,AR7,25-100,Financial Advisor,175e3,0.25
TB6,TB6,<25,Financial Advisor,175e3,0.2
TB5,TB5_2,<25,Financial Advisor,175e3,0.25
TL9,TL9,<25,Registered Representative,175e3,0.2
PB8,PB8,25-100,Investment Client Advisor,175e3,0.2
PT3,PT3,25-100,Advisor,175e3,0
TT7,TT7,<25,Financial Advisor,175e3,0.29
GB1,GB1_1,> 100,Branch Advisor,175e3,0.15
GB1,GB1_2,> 100,Hub Advisor,175e3,0.15
GT1,GT1_1,> 100,Traditional Advisor,175e3,0.2
GT1,GT1_2,> 100,Team Based (Partnered) Advisor,175e3,0.19
GL1,GL1,> 100,Advisor,175e3,0.25
TL7,TL7,25-100,Advisor,175e3,0.36
AB6,AB6,25-100,Advisor,175e3,0.35
AB4,AB4,25-100,Retail Investment Sales Officer,175e3,0.35
PT12,PT12,<25,Advisor,175e3,0.29
AT7,AT7_1,25-100,Full Commission Advisor,175e3,0.35
AT7,AT7_2,25-100,"""Guaranteed"" Advisor",175e3,0.19
AB3,AB3,25-100,Financial Consultant,175e3,0.2
PT13,PT13,<25,Financial Advisor,175e3,0.36
AB7,AB7,> 100,Financial Advisor/Associate FA,175e3,0.26
AT2,AT2_1,> 100,Advisor,175e3,0.25
TL5,TL5,<25,Financial Advisor,175e3,0.25
AT6,AT6,> 100,Advisor,175e3,0.16
PR3,PR3,< 25,New Financial Advisor,175e3,0
PR2,PR2,25-100,Advisor,175e3,0.25
AT3,AT3_1,> 100,Branch Advisor,175e3,0.25
AT3,AT3_2,> 100,Centralized Advisor,175e3,0.29
AT1,AT1_1,> 100,"""Grandfathered"" Advisor",175e3,0.04
AT1,AT1_2,> 100,Advisor,175e3,0.04
TL14,TL14_1,<25,Advisor,175e3,0.31
PR1,PR1,25-100,Advisor,175e3,0.15
PB1,PB1,< 25,Financial Advisor,175e3,0.1
TB7,TB7_1,< 25,New Financial Advisor,175e3,0.3
TB7,TB7_2,< 25,Financial Advisor,175e3,0.25
PB6,PB6,25-100,Retail Financial Consultant,175e3,0.28
AT5,AT5_1,25-100,Financial Consultant,175e3,0.06
AL3,AL3,25-100,Wealth Advisor,175e3,0
AT2,AT2_2,> 100,Senior Advisor,175e3,0.2
AR3,AR3,> 100,Senior Advisor,175e3,0.33
PB3,PB3_1,25-100,Senior Advisor,175e3,0.2
PB9,PB9_2,25-100,Senior Advisor,175e3,0.35
PR4,PR4,< 25,Financial Consultant II,175e3,0.38
AB2,AB2,25-100,Senior Investment Representative,175e3,0.3
AT1,AT1_3,> 100,Senior  Financial Advisor,175e3,0.04
TB7,TB7_3,< 25,Senior  Financial Advisor,175e3,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,175e3,0.25
AT5,AT5_2,25-100,2nd Story Financial Consultant,175e3,0
TB7,TB7_4,< 25,Private Financial Advisor,175e3,0.4
PB9,PB9_3,25-100,Independent Advisor,175e3,0.4
PB3,PB3_2,25-100,Independent Advisor,175e3,0.26
TL14,TL14_2,< 25,Independent Advisor,175e3,0.36
W,W_1,> 100,Advisor 0-5 Yrs,175e3,0.28
W,W_2,> 100,Advisor 5-7 Yrs,175e3,0.28
W,W_3,> 100,Advisor 7-9 Yrs,175e3,0.28
W,W_4,> 100,Advisor 9-15 Yrs,175e3,0.28
W,W_5,> 100,Advisor 15-19 Yrs,175e3,0.28
W,W_6,> 100,Advisor 20-25 Yrs,175e3,0.28
W,W_7,> 100,Advisor 25+ Yrs,175e3,0.28
GR1,GR1,> 100,Advisor,2e5,0.22
PT10,PT10,<25,Financial Advisor,2e5,0.39
TL13,TL13_1,<25,Financial Advisor (New),2e5,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),2e5,0.32
PT5,PT5,< 25,Advisor,2e5,0.36
PB9,PB9_1,25-100,Advisor,2e5,0.27
PB7,PB7,25-100,Advisor,2e5,0.1
PT11,PT11,<25,Financial Advisor,2e5,0.32
AR2,AR2,> 100,Advisor,2e5,0.2
TR7,TR7,<25,Investment Representative,2e5,0.3
TR2,TR2,25-100,Financial Advisor,2e5,0.25
AR6,AR6_1,25-100,KJM (Tier I) Representative,2e5,0.35
AR6,AR6_2,25-100,MBE (Tier II) Representative,2e5,0.35
AR6,AR6_3,25-100,SPG (Tier III) Representative,2e5,0.4
TR8,TR8,<25,Financial Advisor,2e5,0.19
AB5,AB5,<25,Financial Advisor,2e5,0.35
PB14,PB14,<25,Financial Consultant,2e5,0.3
TB5,TB5_1,<25,Wealth Advisor,2e5,0.42
AR7,AR7,25-100,Financial Advisor,2e5,0.25
TB6,TB6,<25,Financial Advisor,2e5,0.24
TB5,TB5_2,<25,Financial Advisor,2e5,0.25
TL9,TL9,<25,Registered Representative,2e5,0.2
PB8,PB8,25-100,Investment Client Advisor,2e5,0.3
PT3,PT3,25-100,Advisor,2e5,0.09
TT7,TT7,<25,Financial Advisor,2e5,0.31
GB1,GB1_1,> 100,Branch Advisor,2e5,0.15
GB1,GB1_2,> 100,Hub Advisor,2e5,0.15
GT1,GT1_1,> 100,Traditional Advisor,2e5,0.24
GT1,GT1_2,> 100,Team Based (Partnered) Advisor,2e5,0.22
GL1,GL1,> 100,Advisor,2e5,0.25
TL7,TL7,25-100,Advisor,2e5,0.36
AB6,AB6,25-100,Advisor,2e5,0.35
AB4,AB4,25-100,Retail Investment Sales Officer,2e5,0.35
PT12,PT12,<25,Advisor,2e5,0.29
AT7,AT7_1,25-100,Full Commission Advisor,2e5,0.38
AT7,AT7_2,25-100,"""Guaranteed"" Advisor",2e5,0.19
AB3,AB3,25-100,Financial Consultant,2e5,0.2
PT13,PT13,<25,Financial Advisor,2e5,0.37
AB7,AB7,> 100,Financial Advisor/Associate FA,2e5,0.26
AT2,AT2_1,> 100,Advisor,2e5,0.28
TL5,TL5,<25,Financial Advisor,2e5,0.25
AT6,AT6,> 100,Advisor,2e5,0.27
PR3,PR3,< 25,New Financial Advisor,2e5,0
PR2,PR2,25-100,Advisor,2e5,0.25
AT3,AT3_1,> 100,Branch Advisor,2e5,0.25
AT3,AT3_2,> 100,Centralized Advisor,2e5,0.29
AT1,AT1_1,> 100,"""Grandfathered"" Advisor",2e5,0.09
AT1,AT1_2,> 100,Advisor,2e5,0.09
TL14,TL14_1,<25,Advisor,2e5,0.31
PR1,PR1,25-100,Advisor,2e5,0.2
PB1,PB1,< 25,Financial Advisor,2e5,0.13
TB7,TB7_1,< 25,New Financial Advisor,2e5,0.3
TB7,TB7_2,< 25,Financial Advisor,2e5,0.25
PB6,PB6,25-100,Retail Financial Consultant,2e5,0.33
AT5,AT5_1,25-100,Financial Consultant,2e5,0.06
AL3,AL3,25-100,Wealth Advisor,2e5,0.2
AT2,AT2_2,> 100,Senior Advisor,2e5,0.28
AR3,AR3,> 100,Senior Advisor,2e5,0.33
PB3,PB3_1,25-100,Senior Advisor,2e5,0.23
PB9,PB9_2,25-100,Senior Advisor,2e5,0.35
PR4,PR4,< 25,Financial Consultant II,2e5,0.38
AB2,AB2,25-100,Senior Investment Representative,2e5,0.3
AT1,AT1_3,> 100,Senior  Financial Advisor,2e5,0.09
TB7,TB7_3,< 25,Senior  Financial Advisor,2e5,0.25
TB5,TB5_3,< 25,Senior Financial Advisor,2e5,0.25
AT5,AT5_2,25-100,2nd Story Financial Consultant,2e5,0
TB7,TB7_4,< 25,Private Financial Advisor,2e5,0.4
PB9,PB9_3,25-100,Independent Advisor,2e5,0.4
PB3,PB3_2,25-100,Independent Advisor,2e5,0.26
TL14,TL14_2,< 25,Independent Advisor,2e5,0.36
W,W_1,> 100,Advisor 0-5 Yrs,2e5,0.28
W,W_2,> 100,Advisor 5-7 Yrs,2e5,0.28
W,W_3,> 100,Advisor 7-9 Yrs,2e5,0.28
W,W_4,> 100,Advisor 9-15 Yrs,2e5,0.28
W,W_5,> 100,Advisor 15-19 Yrs,2e5,0.28
W,W_6,> 100,Advisor 20-25 Yrs,2e5,0.28
W,W_7,> 100,Advisor 25+ Yrs,2e5,0.28
GR1,GR1,> 100,Advisor,225e3,0.22
PT10,PT10,<25,Financial Advisor,225e3,0.39
TL13,TL13_1,<25,Financial Advisor (New),225e3,0.32
TL13,TL13_2,<25,Financial Advisor (Composite),225e3,0.32
PT5,PT5,< 25,Advisor,225e3,0.36
PB9,PB9_1,25-100,Advisor,225e3,0.27
PB7,PB7,25-100,Advisor,225e3,0.1
PT11,PT11,<25,Financial Advisor,225e3,0.37
AR2,AR2,> 100,Advisor,225e3,0.2
TR7,TR7,<25,Investment Representative,225e3,0.3
TR2,TR2,25-100,Financial Advisor,225e3,0.25
AR6,AR6_1,25-100,KJM (Tier I) Representative,225e3,0.35
AR6,AR6_2,25-100,MBE (Tier II) Representative,225e3,0.35
AR6,AR6_3,25-100,SPG (Tier III) Representative,225e3,0.4
TR8,TR8,<25,Financial Advisor,225e3,0.19
AB5,AB5,<25,Financial Advisor,225e3,0.38
PB14,PB14,<25,Financial Consultant,225e3,0.3
TB5,TB5_1,<25,Wealth Advisor,225e3,0.42
AR7,AR7,25-100,Financial Advisor,225e3,0.25
TB6,TB6,<25,Financial Advisor,225e3,0.24
